chave,valor
bnc_crs86_white,10.9116733963
bnc_crs86_white_p,0.28181192451
bnc_crs86_white_gl,            9
bnc_crs86_white_crit,16.9189776046
bnc_crs86_jb,0.943734810256
bnc_crs86_jb_p,0.623836224918
bnc_pchow_ssr_r,0.94169122107
bnc_pchow_ssr_u,0.819874690131
bnc_pchow_F,3.26874791102
bnc_pchow_p,0.0150819586414
bnc_pchow_Fcrit,2.47527740887
bnc_pchow_b_d86,0.648970187245
bnc_pchow_t_d86_lk,-1.81212199424
bnc_mroz_n,          428
bnc_mroz_iv_b_educ,0.0613966286602
bnc_mroz_iv_se_educ,0.0314366956447
bnc_mroz_iv_z_educ,1.95302424129
bnc_mroz_iv_p_educ,0.0508167228203
bnc_mroz_iv_educ_exato,6.33205739751
bnc_mroz_mqo_b_educ,0.107489640149
bnc_mroz_mqo_se_educ,0.0141464783251
bnc_mroz_weak,55.4003004278
bnc_mroz_weak_df2,          423
bnc_mroz_wh,2.79259195891
bnc_mroz_wh_p,0.0954405509031
bnc_mroz_sargan,0.378071341964
bnc_mroz_sargan_p,0.538637233071
bnc_mroz_iv_expstar,24.5672342706
bnc_mroz_iv_ic_educ_inf,0.00968326432463
bnc_mroz_iv_ic_educ_sup,0.113109992996
bnc_mroz_fs_b_moth,0.157597032749
bnc_mroz_fs_b_fath,0.189548410155
bnc_mrozf_b_educ,0.0702262912721
bnc_mrozf_se_educ,0.0344426941326
bnc_mrozf_weak, 87.740888777
bnc_mrozf_t_fs,9.36701066386
bnc_mrozf_wh,1.43731169538
bnc_mrozf_wh_p,0.231246046376
bnc_mrozf_wald_simples,0.0591734799994
bnc_inj_n,         5626
bnc_inj_b_did,0.190601200659
bnc_inj_se_did,0.0685089053232
bnc_inj_t_did,2.78213758868
bnc_inj_did_exato,20.9976817893
bnc_inj_r2,0.0206630603924
bnc_inj_b_af,0.00765731271228
bnc_inj_b_high,0.256478531575
bnc_inj_m00,1.12561540876
bnc_inj_m01,1.13327272148
bnc_inj_m10,1.38209394034
bnc_inj_m11,1.58035245371
bnc_s1_n,          526
bnc_s1_r2,0.436248459824
bnc_s1_r2adj,0.428630195767
bnc_s1_F,57.2634994786
bnc_s1_Fcrit,2.02724622871
bnc_s1_jb,25.9955639343
