chave,valor
m07b_t4_bp_manual,23.7935812625
m07b_t4_bp_lmtest,23.7935812625
m07b_t4_white_manual,26.8631313112
m07b_t4_white_lmtest,26.8631313112
m07b_t5_d12,0.651325699684
m07b_t5_omit_b1_teo,1.32566284984
m07b_t5_omit_b1_sim,1.32490398887
m07b_t5_longa_b1_sim,0.998467508073
m07b_t5_omit_s2_teo,1.11291594523
m07b_t5_omit_s2_sim,1.11328398735
m07b_t5_var_curta_sim,0.0246216970804
m07b_t5_var_longa_sim,0.0439755355916
m07b_t5_var_curta_teo,0.0246562326723
m07b_t5_var_longa_teo,0.0442239391993
m07b_t5_irrel_b1_sim,0.99915010147
m07b_t5_irrel_razao_var_sim,2.22544156978
m07b_t5_irrel_razao_var_teo, 2.2531195876
m07b_t5_r2_13,0.556170917201
